,GICS Sector,GICS Sub-Industry,Name,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
8,Communication Services,Interactive Home Entertainment,ATVI,32.72895154884823,33.091383717235914,32.338760047656855,32.73928117553614,0.010329626687847435,0.7526236695790306,0.02707909269131573,2.3106868360205923
41,Consumer Discretionary,Consumer Electronics,GRMN,47.4131212073074,47.87350254169976,46.95109396346305,47.42383121525021,0.010710007942811814,0.9224085782366969,0.026738108469642682,1.9690374412814633
93,Consumer Staples,Packaged Foods & Meats,K,67.74049547259716,68.2016566322478,67.28819078633838,67.75897140587757,0.01847593328038113,0.9134658459094499,0.02667303251741381,1.346701963560475
145,Financials,Diversified Banks,WFC,50.41677108816519,50.782104130262184,50.061090548054025,50.42951945988873,0.012748371723590233,0.7210135822081023,0.026654680813669698,1.4321511978027466
417,Utilities,Electric Utilities,SO,46.623505957108826,46.92194765687062,46.31203868149324,46.63677521842741,0.01326926131850668,0.6099089753772832,0.026520391710725427,1.3094298347618032
276,Industrials,Industrial Conglomerates,HON,106.2200354249405,106.8899250198571,105.54539396346306,106.24599682287527,0.02596139793486899,1.3445310563939634,0.02634634237740336,1.2868274899788024
179,Financials,Regional Banks,KEY,14.17322875297853,14.313933280381253,14.033190706910233,14.176497220015897,0.003268467037331211,0.2807425734710089,0.026291322012833976,1.9967859248924442
344,Information Technology,Semiconductors,QCOM,63.922927879269324,64.45844884829229,63.39276854646545,63.940961080222365,0.018033200953137474,1.0656803018268466,0.025995959502132012,1.7003038091596487
34,Consumer Discretionary,Auto Parts & Equipment,BWA,47.58563939634636,48.080716679904725,47.071581493248615,47.59609610802225,0.010456711675933416,1.0091351866560765,0.025949798578061543,2.1959998512141525
23,Consumer Discretionary,Apparel Retail,TJX,66.72825258141377,67.25646536934072,66.20853359809367,66.74356632247809,0.015313741064336759,1.0479317712470206,0.025864151346757982,1.5673350878652033
306,Information Technology,Application Software,CTXS,73.0272637013503,73.742027720413,72.27819412231926,73.0460643367753,0.01880063542494043,1.4638335980937263,0.025626075409160707,2.0313007719642924
236,Health Care,Pharmaceuticals,LLY,70.96554201747412,71.55601779189838,70.36812779984118,70.9842732327244,0.01873121525019844,1.1878899920571877,0.0255337549472537,1.6530531839220053
177,Financials,Regional Banks,FITB,21.295806195393126,21.498623193010317,21.091466640190635,21.3008141382049,0.005007942811755412,0.4071565528196988,0.024886320388118388,1.9233341510546398
